motionName,info
walk1,"[{'delay': '180'}, {'delay': '180'}, {'delay': '180'}, {'delay': '180'}]"
walk2,"[{'delay': '180'}, {'delay': '180'}, {'delay': '180'}, {'delay': '180'}]"
stand1,"[{'delay': '500'}, {'delay': '500'}, {'delay': '500'}]"
stand2,"[{'delay': '500'}, {'delay': '500'}, {'delay': '500'}]"
alert,"[{'delay': '500'}, {'delay': '500'}, {'delay': '500'}]"
swingO1,"[{'delay': '300'}, {'delay': '150'}, {'delay': '350'}]"
swingO2,"[{'delay': '300'}, {'delay': '150'}, {'delay': '350'}]"
swingO3,"[{'delay': '300'}, {'delay': '150'}, {'delay': '350'}]"
swingOF,"[{'delay': '200'}, {'delay': '100'}, {'delay': '100'}, {'delay': '300'}]"
swingT1,"[{'delay': '300'}, {'delay': '150'}, {'delay': '350'}]"
swingT2,"[{'delay': '300'}, {'delay': '150'}, {'delay': '350'}]"
swingT3,"[{'delay': '300'}, {'delay': '150'}, {'delay': '350'}]"
swingTF,"[{'delay': '200'}, {'delay': '150'}, {'delay': '150'}, {'delay': '200'}]"
swingP1,"[{'delay': '300'}, {'delay': '150'}, {'delay': '350'}]"
swingP2,"[{'delay': '300'}, {'delay': '150'}, {'delay': '350'}]"
swingPF,"[{'delay': '100'}, {'delay': '200'}, {'delay': '200'}, {'delay': '200'}]"
stabO1,"[{'delay': '350'}, {'delay': '450'}]"
stabO2,"[{'delay': '350'}, {'delay': '450'}]"
stabOF,"[{'delay': '250'}, {'delay': '150'}, {'delay': '300'}]"
stabT1,"[{'delay': '300'}, {'delay': '100'}, {'delay': '350'}]"
stabT2,"[{'delay': '300'}, {'delay': '100'}, {'delay': '350'}]"
stabTF,"[{'delay': '100'}, {'delay': '200'}, {'delay': '200'}, {'delay': '200'}]"
shoot1,"[{'delay': '300'}, {'delay': '150'}, {'delay': '350'}]"
shoot2,"[{'delay': '160'}, {'delay': '160'}, {'delay': '250'}, {'delay': '100'}, {'delay': '150'}]"
shootF,"[{'delay': '300'}, {'delay': '150'}, {'delay': '250'}]"
proneStab,"[{'delay': '300'}, {'delay': '400'}]"
prone,[{}]
heal,"[{'delay': '300'}, {'delay': '150'}, {'delay': '350'}]"
fly,"[{'delay': '300'}, {'delay': '300'}]"
jump,[{'delay': '200'}]
sit,[{}]
ladder,"[{'delay': '250'}, {'delay': '250'}]"
rope,"[{'delay': '250'}, {'delay': '250'}]"
dead,[{}]
blink,[{'delay': '30'}]
tripleShot,"[{'action': 'shoot2', 'frame': '0', 'delay': '150'}, {'action': 'shoot2', 'frame': '1', 'delay': '150'}, {'action': 'shoot2', 'frame': '2', 'delay': '150'}, {'action': 'shoot2', 'frame': '3', 'delay': '150'}, {'action': 'shoot2', 'frame': '4', 'delay': '150'}]"
savage,"[{'action': 'stabO1', 'frame': '0', 'delay': '-120'}, {'action': 'swingOF', 'frame': '3', 'delay': '-120'}, {'action': 'proneStab', 'frame': '0', 'delay': '-120'}, {'action': 'swingO1', 'frame': '2', 'delay': '120'}, {'action': 'swingO2', 'frame': '0', 'delay': '120'}, {'action': 'stabOF', 'frame': '2', 'delay': '120'}, {'action': 'alert', 'frame': '1', 'delay': '120'}, {'action': 'swingO3', 'frame': '2', 'delay': '120'}]"
alert2,"[{'action': 'alert', 'frame': '0', 'delay': '200'}, {'action': 'alert', 'frame': '1', 'delay': '200'}, {'action': 'alert', 'frame': '2', 'delay': '200'}]"
alert3,"[{'action': 'alert', 'frame': '0', 'delay': '-500'}, {'action': 'alert', 'frame': '1', 'delay': '-500'}, {'action': 'alert', 'frame': '2', 'delay': '500'}]"
alert4,"[{'action': 'alert', 'frame': '0', 'delay': '-300'}, {'action': 'alert', 'frame': '1', 'delay': '-300'}, {'action': 'alert', 'frame': '2', 'delay': '300'}]"
alert5,"[{'action': 'alert', 'frame': '0', 'delay': '-300'}, {'action': 'alert', 'frame': '1', 'delay': '300'}, {'action': 'alert', 'frame': '2', 'delay': '300'}]"
alert6,"[{'action': 'alert', 'frame': '0', 'delay': '330'}, {'action': 'alert', 'frame': '1', 'delay': '330'}, {'action': 'alert', 'frame': '2', 'delay': '330'}]"
alert7,"[{'action': 'alert', 'frame': '0', 'delay': '360'}, {'action': 'alert', 'frame': '1', 'delay': '300'}]"
alert8,"[{'action': 'jump', 'frame': '0', 'delay': '30'}]"
alert9,"[{'action': 'alert', 'frame': '0', 'delay': '90'}, {'action': 'alert', 'frame': '1', 'delay': '90'}, {'action': 'alert', 'frame': '2', 'delay': '90'}]"
rain,"[{'action': 'stand1', 'frame': '1', 'delay': '-60'}, {'action': 'swingT1', 'frame': '1', 'delay': '-90'}, {'action': 'swingT1', 'frame': '0', 'delay': '-390'}, {'action': 'swingT1', 'frame': '2', 'delay': '120'}, {'action': 'stand1', 'frame': '1', 'delay': '60'}]"
paralyze,"[{'action': 'swingO2', 'frame': '0', 'delay': '-330', 'pos': '1, 0'}, {'action': 'swingO2', 'frame': '2', 'delay': '450', 'pos': '2, 0'}]"
ladder2,"[{'action': 'ladder', 'frame': '0', 'delay': '300'}, {'action': 'ladder', 'frame': '1', 'delay': '300'}]"
rope2,"[{'action': 'rope', 'frame': '0', 'delay': '300'}, {'action': 'rope', 'frame': '1', 'delay': '300'}]"
shoot6,"[{'action': 'shootF', 'frame': '0', 'delay': '-480'}, {'action': 'shootF', 'frame': '1', 'delay': '-160'}, {'action': 'shootF', 'frame': '2', 'delay': '260'}]"
arrowRain,"[{'action': 'swingT1', 'frame': '1', 'delay': '-120'}, {'action': 'swingT1', 'frame': '0', 'delay': '-510'}, {'action': 'swingT1', 'frame': '2', 'delay': '330'}, {'action': 'alert', 'frame': '0', 'delay': '0'}]"
arrowEruption,"[{'action': 'swingT1', 'frame': '1', 'delay': '-120'}, {'action': 'swingT1', 'frame': '0', 'delay': '-510'}, {'action': 'swingT1', 'frame': '2', 'delay': '330'}, {'action': 'alert', 'frame': '0', 'delay': '0'}]"
magic1,"[{'action': 'shootF', 'frame': '1', 'delay': '-900'}, {'action': 'swingO3', 'frame': '1', 'delay': '200'}, {'action': 'swingO3', 'frame': '2', 'delay': '200'}]"
magic2,"[{'action': 'alert', 'frame': '0', 'delay': '-350'}, {'action': 'alert', 'frame': '1', 'delay': '350'}, {'action': 'alert', 'frame': '2', 'delay': '350'}]"
magic3,"[{'action': 'stand1', 'frame': '0', 'delay': '-300'}, {'action': 'stand1', 'frame': '1', 'delay': '300'}, {'action': 'stand1', 'frame': '2', 'delay': '300'}]"
magic4,"[{'action': 'swingO3', 'frame': '0', 'delay': '-800'}, {'action': 'swingO3', 'frame': '1', 'delay': '300'}, {'action': 'swingO3', 'frame': '2', 'delay': '300'}]"
magic5,"[{'action': 'alert', 'frame': '0', 'delay': '-720'}, {'action': 'alert', 'frame': '1', 'delay': '240'}, {'action': 'alert', 'frame': '2', 'delay': '240'}]"
magic6,"[{'action': 'alert', 'frame': '0', 'delay': '-300'}, {'action': 'alert', 'frame': '1', 'delay': '420'}]"
explosion,"[{'action': 'alert', 'frame': '2', 'delay': '-30'}, {'action': 'swingO2', 'frame': '1', 'delay': '-60', 'pos': '6, 0'}, {'action': 'swingO2', 'frame': '0', 'delay': '-270', 'pos': '3, 0'}, {'action': 'stabO2', 'frame': '1', 'delay': '-30', 'pos': '-3, 0'}, {'action': 'stabO2', 'frame': '1', 'delay': '480', 'pos': '-3, 0'}]"
